Metric,Value
SMA 50-day,192.1836
EMA 20-day,165.39429329970892
RSI,21.820010055304152
MACD Histogram,-2.2112092498220157
Bollinger Bands Width,0.37767039732349394
ATR,13.147857142857145
OBV,6826292.769000002
VWAP,190.52458863790488
Price ROC,-32.37930492215757
Stochastic %K,3.9035087719298276
Williams %R,-96.09649122807018
Momentum,-46.83000000000001
Volume Oscillator,15.953689408051531
Chande Momentum Oscillator,-56.35997988939167
Price Channel Breakout,0.0
